,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv
179,1.0,9.0,8.06225774829855,0.28697850821744625,819.0,828.0,1.0,15.0,10.63014581273465,0.26011378002528446,0.9816849816849816,834.0
180,1.0,25.0,25.0,0.0316055625790139,819.0,794.0,1.0,19.0,15.524174696260024,0.1618204804045512,0.9768009768009768,800.0
181,1.0,9.0,7.280109889280518,0.2525284450063211,819.0,814.0,1.0,14.0,13.038404810405298,0.05214917825537294,0.9829059829059829,833.0
182,1.0,27.0,24.186773244895647,0.1374841972187105,819.0,840.0,1.0,34.0,33.015148038438355,0.07743362831858407,0.960927960927961,851.0
183,1.0,17.0,14.317821063276353,0.12484197218710492,819.0,802.0,1.0,9.0,6.4031242374328485,0.14917825537294563,0.9987789987789988,820.0
184,1.0,15.0,11.704699910719626,0.15676359039190896,819.0,834.0,1.0,38.0,37.013511046643494,0.0824905183312263,0.9560439560439561,855.0
185,1.0,37.0,27.294688127912362,0.4946270543615677,819.0,782.0,1.0,9.0,6.4031242374328485,0.14917825537294563,0.9987789987789988,818.0
186,1.0,8.0,5.656854249492381,0.14791403286978508,819.0,819.0,1.0,21.0,19.1049731745428,0.09544879898862199,0.9743589743589743,840.0
187,1.0,34.0,24.698178070456937,0.49083438685208597,819.0,811.0,1.0,60.0,49.47726750741192,0.48925410872313524,0.9267399267399268,759.0
188,1.0,22.0,15.811388300841896,0.4756637168141593,819.0,823.0,1.0,32.0,25.96150997149434,0.2816055625790139,0.978021978021978,837.0
189,1.0,4.0,3.1622776601683795,0.10840707964601769,819.0,815.0,1.0,16.0,11.40175425099138,0.261378002528445,0.9975579975579976,821.0
190,1.0,41.0,39.05124837953327,0.12073324905183312,819.0,856.0,1.0,31.0,25.0,0.2803413400758534,0.9621489621489622,850.0
191,1.0,30.0,21.95449840010015,0.4168773704171934,819.0,811.0,1.0,16.0,15.033296378372908,0.05467762326169406,0.9829059829059829,833.0
192,1.0,59.0,54.230987451824994,0.2468394437420986,819.0,878.0,1.0,38.0,34.23448553724738,0.18584070796460175,0.9633699633699634,789.0
193,1.0,10.0,9.055385138137417,0.322692793931732,819.0,809.0,1.0,34.0,33.015148038438355,0.07743362831858407,0.960927960927961,851.0
194,1.0,25.0,25.0,0.0316055625790139,819.0,794.0,1.0,25.0,24.020824298928627,0.06605562579013906,0.9719169719169719,842.0
195,1.0,12.0,11.045361017187261,0.049620733249051835,819.0,807.0,1.0,20.0,18.110770276274835,0.09418457648546144,0.9804639804639804,803.0
196,1.0,31.0,28.160255680657446,0.14254108723135273,819.0,794.0,1.0,47.0,39.81205847478876,0.3350189633375474,0.9621489621489622,850.0
197,1.0,61.0,50.44799302251776,0.4905183312262958,819.0,782.0,1.0,20.0,15.811388300841896,0.1975347661188369,0.9877899877899878,809.0
198,1.0,11.0,10.04987562112089,0.04835651074589127,819.0,830.0,1.0,8.0,7.0710678118654755,0.25126422250316055,0.9926739926739927,813.0
199,1.0,12.0,12.0,0.015170670037926675,819.0,831.0,1.0,31.0,29.068883707497267,0.10809102402022755,0.9621489621489622,788.0
200,1.0,15.0,15.0,0.018963337547408345,819.0,804.0,1.0,0.0,0.0,0.0,1.0,819.0
201,1.0,28.0,23.53720459187964,0.20764854614412137,819.0,837.0,1.0,18.0,13.92838827718412,0.1950063211125158,0.978021978021978,837.0
202,1.0,33.0,32.01562118716424,0.07616940581542352,819.0,850.0,1.0,33.0,26.248809496813376,0.3173198482932996,0.9792429792429792,802.0
203,1.0,19.0,17.11724276862369,0.09292035398230088,819.0,834.0,1.0,41.0,33.24154027718932,0.36188369152970923,0.9499389499389499,860.0
204,1.0,26.0,21.587033144922902,0.20512010113780027,819.0,793.0,1.0,11.0,8.06225774829855,0.15170670037926676,0.9865689865689866,808.0
205,1.0,16.0,16.0,0.020227560050568902,819.0,803.0,1.0,65.0,60.207972893961475,0.25442477876106195,0.9206349206349207,884.0
206,1.0,8.0,6.324555320336759,0.07901390644753477,819.0,811.0,1.0,34.0,28.635642126552707,0.24968394437420985,0.9731379731379731,797.0
207,1.0,9.0,6.4031242374328485,0.1836283185840708,819.0,818.0,1.0,25.0,21.37755832643195,0.16940581542351452,0.9694749694749695,794.0
208,1.0,14.0,10.295630140987,0.18994943109987358,819.0,833.0,1.0,25.0,18.35755975068582,0.34165613147914037,0.9694749694749695,844.0
