,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv,epsilon
39,1.0,718.0,545.9761899570346,8.383375474083438,819.0,535.0,0.6517714526162681,853.0,619.0387709990384,12.378002528445005,0.7594627594627594,622.0,0.4
40,1.0,159.0,115.43396380615195,2.302465233881163,819.0,782.0,1.0,411.0,311.61033358988595,4.860303413400759,0.8058608058608059,660.0,0.5
41,1.0,111.0,82.73451516749222,1.4149810366624527,819.0,782.0,1.0,375.0,284.8104632909402,4.4013906447534765,0.8205128205128205,672.0,0.5
42,1.0,132.0,93.43446901438462,2.3372313527180784,819.0,813.0,1.0,339.0,251.3662666309861,4.424778761061948,0.8693528693528694,712.0,0.5
43,1.0,146.0,104.86181383134664,2.2515802781289507,819.0,793.0,1.0,407.0,313.8295715830489,4.476295828065739,0.7838827838827839,642.0,0.5
44,1.0,158.0,112.61438629233834,2.576801517067004,819.0,799.0,1.0,403.0,309.5561338432821,4.505689001264223,0.7912087912087912,648.0,0.5
45,1.0,134.0,98.88377015466189,1.788558786346397,819.0,779.0,1.0,382.0,289.1712295509358,4.548040455120101,0.8217338217338217,673.0,0.5
46,1.0,149.0,105.55093557141026,2.9099241466498107,819.0,828.0,1.0,398.0,290.8779812911249,5.5673198482933,0.873015873015873,715.0,0.5
47,1.0,88.0,62.80127387243033,1.420353982300885,819.0,807.0,1.0,389.0,286.8327038536575,5.211441213653603,0.8595848595848596,704.0,0.5
48,1.0,138.0,98.812954616285,2.172566371681416,819.0,797.0,1.0,395.0,290.12583476829496,5.391276864728192,0.8644688644688645,708.0,0.5
49,1.0,122.0,87.65842800324451,1.8767383059418459,819.0,797.0,1.0,388.0,282.630500831032,5.520227560050569,0.8827838827838828,723.0,0.5
50,1.0,290.0,242.85386552410483,2.1924778761061945,819.0,635.0,1.0,663.0,482.77220301090244,9.450695322376738,0.800976800976801,656.0,0.6
51,1.0,255.0,206.72929158684795,2.2515802781289507,819.0,676.0,1.0,671.0,483.6992867474584,10.115360303413402,0.8376068376068376,686.0,0.6
52,1.0,248.0,210.23796041628637,1.7604298356510746,819.0,655.0,1.0,622.0,454.138745319093,8.744310998735777,0.8046398046398047,659.0,0.6
53,1.0,319.0,256.6028059082753,2.918141592920354,819.0,646.0,1.0,652.0,469.03517991724243,9.95353982300885,0.851037851037851,697.0,0.6
54,1.0,279.0,225.0,2.52307206068268,819.0,666.0,1.0,668.0,482.32146956153633,9.973767383059418,0.8315018315018314,681.0,0.6
55,1.0,293.0,231.79516819813134,2.88527180783818,819.0,672.0,1.0,653.0,475.2315225234959,9.334702907711756,0.8058608058608059,660.0,0.6
56,1.0,319.0,261.4670151281037,2.676991150442478,819.0,632.0,1.0,656.0,473.15959252666534,9.855246523388116,0.8388278388278388,687.0,0.6
57,1.0,253.0,201.45719148245863,2.4213021491782554,819.0,688.0,1.0,675.0,494.8989795907848,9.293615676359039,0.7741147741147741,634.0,0.6
58,1.0,249.0,205.91503102007877,2.0028445006321114,819.0,668.0,1.0,742.0,535.0084111488342,11.169721871049305,0.8192918192918193,671.0,0.6
59,1.0,288.0,236.47832881682837,2.3966498103666245,819.0,649.0,1.0,635.0,459.9489102063402,9.311946902654867,0.8278388278388278,678.0,0.6
60,1.0,640.0,478.08158299604054,8.078065739570164,819.0,601.0,1.0,371.0,299.0401310861136,3.3628318584070795,0.7521367521367521,616.0,0.7
61,1.0,678.0,506.2529012262547,8.573957016434893,819.0,589.0,1.0,380.0,306.32009401931174,3.4431099873577753,0.746031746031746,611.0,0.7
62,1.0,653.0,491.6960443200657,7.956700379266751,819.0,580.0,1.0,421.0,326.8960079291272,4.493994943109987,0.7667887667887667,628.0,0.7
63,1.0,681.0,511.27781097951043,8.405499367888748,819.0,576.0,1.0,347.0,265.9266816248419,3.918141592920354,0.8229548229548229,674.0,0.7
64,1.0,654.0,487.9118772893318,8.302465233881163,819.0,599.0,1.0,369.0,294.45712760943655,3.498103666245259,0.7643467643467643,626.0,0.7
65,1.0,689.0,523.0114721495122,8.105562579013906,819.0,550.0,1.0,369.0,289.3872837565604,3.77370417193426,0.7838827838827839,642.0,0.7
66,1.0,662.0,491.9552825206779,8.553729456384323,819.0,605.0,1.0,385.0,306.45228013509706,3.690581542351454,0.757020757020757,620.0,0.7
67,1.0,648.0,491.1232024655321,7.674778761061947,819.0,569.0,1.0,345.0,269.80919183749097,3.571112515802781,0.800976800976801,656.0,0.7
68,1.0,657.0,498.33422519429666,7.755056890012643,819.0,564.0,1.0,354.0,281.46047679914136,3.4102402022756007,0.7777777777777778,637.0,0.7
69,1.0,661.0,507.8789225789942,7.381163084702908,819.0,538.0,1.0,373.0,290.1465147128257,3.9510113780025287,0.7912087912087912,648.0,0.7
70,1.0,227.0,169.95587662684687,2.836283185840708,819.0,740.0,1.0,602.0,458.2597516692907,6.996523388116309,0.7069597069597069,579.0,0.8
71,1.0,194.0,138.6001443000692,3.104614412136536,819.0,791.0,1.0,577.0,437.9235093027092,6.792667509481669,0.7252747252747253,594.0,0.8
72,1.0,241.0,176.50212463310464,3.336283185840708,819.0,754.0,1.0,604.0,458.02401683754533,7.13685208596713,0.7142857142857143,585.0,0.8
73,1.0,181.0,128.84486796143648,2.984829329962073,819.0,798.0,1.0,613.0,459.34409760004536,7.630530973451327,0.7374847374847375,604.0,0.8
